Model,Method,Publication Year,Citations
IBIS,Area Averaged,1996,"(Foley, JA et al 1996)"
HYBRID 3.0,Individual,1997,"(Friend, 1997; Friend et al., 1993)"
VECODE,Area Averaged,1997,"(Brovkin, 1997)"
SDGVM,Density Averaged,1998,"(Woodward, et al 1998; Woodward & Lomas, 2004)"
CASA,Area Averaged,1999,"(Potter & Klooster, 1999)"
MC1,Area Averaged,2000,"(Daly, et al. 2000)"
TRIFFID,Area Averaged,2001,"(Burton et al., 2019; D. B. Clark et al., 2011; Cox, 2001)"
LPJ-GUESS,Area Averaged or Cohort and Individual,2001,"(B. Smith, 2001)"
ED,Cohort: Age and Size,2001,"(A. P. R. Moorcroft et al., 2001)"
LPJ,Area Averaged ,2003,"(Sitch et al., 2003)"
VEGAS,Area Averaged,2003,"(Zeng, 2003; Zeng et al., 2004)"
ISAM,Area Averaged,2005,"(Jain et al., 2013; Jain & Yang, 2005)"
CTEM,Area Averaged,2006,"(Arora & Boer, 2006; Melton & Arora, 2016)"
SEIB,Individual,2007,"(Sato et al., 2007; Watanabe et al., 2011)"
aDGVM,Individual,2009,"(Scheiter & Higgins, 2009)"
LM3V,Area Averaged,2009,"(Shevliakova et al., 2009)"
ED2,Cohort: Age and Size,2009,"(Medvigy et al., 2009a)"
DIVE,Area Averaged,2011,"(Bohn et al., 2011)"
aDGVM2,Individual,2013,"(Scheiter et al., 2013)"
DYNVEG,Area Averaged,2013,"(Reick et al., 2013)"
JeDi-DGVM,Area Averaged,2013,"(Pavlick et al., 2013)"
VISIT,Area Averaged,2013,"(Kato et al., 2013)"
POP,Cohort: Age,2014,"(V Haverd et al., 2014)"
LPX-Bern,Area Averaged,2014,"(Stocker et al., 2014)"
LM3-PPA,Cohort: Age and Size,2015,"(Weng et al., 2015)"
LPJmL-FIT,Individual,2015,"(Sakschewski et al., 2015)"
CLM(ED),Cohort: Age and Size,2015,"(R. A. Fisher et al., 2015)"
MC2,Area Averaged,2015,"(Bachelet et al., 2015)"
ORCHIDEE-MICT,Cohort: Age,2017,"(Guimberteau et al., 2017; Yue et al., 2018)"
JSBACH4,Cohort: Age,2020,"(Nabel et al., 2020)"
RED,Cohort: Size,2020,"(Argles et al., 2020)"
LPJ-wsl2.0,Cohort: Age,2020,"(Calle et al., 2020)"
